Package	Description	Updated_Date
presto	A bioinformatics toolkit for processing high-throughput lymphocyte receptor sequencing data.	2024-01-24
kingfisher	Download/extract biological FASTA/Q read data and metadata	2024-01-22
raiss	SNP summary statistics imputation package	2024-01-18
phigaro	Phigaro is a scalable command-line tool for predicting phages and prophages.	2024-01-15
evigene	A genome informatics project for Evidence Directed Gene Construction for Eukaryotes	2024-01-15
crossmap	CrossMap is a program for convenient conversion of genome coordinates and genomeannotation files between assemblies.	2024-01-12
conipher	CONIPHER is an R package for clustering mutation data and reconstruction of tumor phylogenetic trees from DNA sequencing.	2024-01-10
complexcgr	Encoders and Image representation of DNA/RNA sequences based on the Chaos Game Representation of DNA	2024-01-07
cannoli	Distributed execution of bioinformatics tools on Apache Spark	2024-01-05
adam	Genomics analysis platform built on Apache Avro Apache Spark and Apache Parquet	2024-01-05
antismash-lite	antiSMASH - the antibiotics and Secondary Metabolite Analysis SHell	2023-12-30
bioconductor-rgmql	GenoMetric Query Language for R/Bioconductor	2023-12-22
bioconductor-brgenomics	Tools for the Efficient Analysis of High-Resolution Genomics Data	2023-12-22
bioconductor-pipecomp	pipeComp pipeline benchmarking framework	2023-12-21
fiji-max_inscribed_circles	ImageJ / Fiji plugin implementing an iterative Largest Inscribed Circle algorithm using a euclidean distance map	2023-12-21
pomoxis	Assembly consensensus and analysis tools by ONT research	2023-12-21
ananse	ANANSE: ANalysis Algorithm for Networks Specified by Enhancers - Prediction of key transcription factors in cell fate determination using enhancer networks	2023-12-19
bioconductor-bandle	An R package for the Bayesian analysis of differential subcellular localisation experiments	2023-12-18
bioconductor-msbackendrawfilereader	Mass Spectrometry Backend for Reading Thermo Fisher Scientific raw Files	2023-12-18
bioconductor-htseqgenie	A NGS analysis pipeline.	2023-12-15
sequana	A set of standalone application and snakemake pipelines dedicated to NGS (new generation sequencing) analysis	2023-12-13
craq	Pinpoint assembly errors for genomic assessing and correcting.	2023-12-13
bioconductor-maqcsubsetilm	MAQC data subset for the Illumina platform	2023-12-13
bioconductor-flowsorted.cordbloodcombined.450k	Illumina 450k/EPIC data on FACS and MACS umbilical blood cells	2023-12-12
bioconductor-rarevariantvis	A suite for analysis of rare genomic variants in whole genome sequencing data	2023-12-12
bioconductor-viseago	ViSEAGO: a Bioconductor package for clustering biological functions using Gene Ontology and semantic similarity	2023-12-12
bioconductor-bayesspace	Clustering and Resolution Enhancement of Spatial Transcriptomes	2023-12-11
proovframe	frame-shift correction for long read (meta)genomics	2023-12-11
bioconductor-quartpac	Identification of mutational clusters in protein quaternary structures.	2023-12-11
b2b-utils	Genomics tools from BASE2BIO	2023-12-10
bioconductor-ccmap	Combination Connectivity Mapping	2023-12-09
bioconductor-msstatsshiny	MSstats GUI for Statistical Anaylsis of Proteomics Experiments	2023-12-09
bioconductor-graphpac	Identification of Mutational Clusters in Proteins via a Graph Theoretical Approach.	2023-12-08
bioconductor-spacepac	Identification of Mutational Clusters in 3D Protein Space via Simulation.	2023-12-08
bioconductor-mmappr2data	Sample Data for MMAPPR2	2023-12-08
bioconductor-mafdb.1kgenomes.phase1.hs37d5	Minor allele frequency data from 1000 Genomes Phase 1 for hs37d5	2023-12-08
bioconductor-mafdb.1kgenomes.phase3.hs37d5	Minor allele frequency data from 1000 Genomes Phase 3 for hs37d5	2023-12-08
lorikeet-genome	Metagenomic Variant Calling & Diversity Analysis	2023-12-08
bioconductor-msstatsptm	Statistical Characterization of Post-translational Modifications	2023-12-07
bioconductor-ipac	Identification of Protein Amino acid Clustering	2023-12-07
bioconductor-mmuphin	Meta-analysis Methods with Uniform Pipeline for Heterogeneity in Microbiome Studies	2023-12-07
campyagainst	Accurate assignment of ANI genomic species to Campylobacter genomes.	2023-12-06
bioconductor-evaluomer	Evaluation of Bioinformatics Metrics	2023-12-05
bioconductor-beadarraysnp	Normalization and reporting of Illumina SNP bead arrays	2023-12-05
bioconductor-iterclust	Iterative Clustering	2023-12-05
bioconductor-metagenomeseq	Statistical analysis for sparse high-throughput sequencing	2023-12-05
bioconductor-geneplast.data.string.v91	The package geneplast.data.string.v91 contains input data used in the analysis pipelines available in the geneplast package.	2023-12-05
phantasm	PHANTASM: PHylogenomic ANalyses for the TAxonomy and Systematics of Microbes	2023-12-04
bioconductor-reactomegraph4r	Interface for the Reactome Graph Database	2023-12-04
bioconductor-correp	Multivariate Correlation Estimator and Statistical Inference Procedures.	2023-12-04
bioconductor-summix	Summix: A method to estimate and adjust for population structure in genetic summary data	2023-12-04
bioconductor-isanalytics	Analyze gene therapy vector insertion sites data identified from genomics next generation sequencing reads for clonal tracking studies	2023-12-03
jass	Computation of joint statistics over sets of GWAS results	2023-12-02
gotree	gotree is a set of command line tools to manipulate phylogenetic trees	2023-11-29
visor	Haplotype-aware structural variants simulator for short long and linked reads	2023-11-28
gunc	Python package for detection of chimerism and contamination in prokaryotic genomes.	2023-11-24
iphop	Predict host genus from genomes of uncultivated phages.	2023-11-22
gimmemotifs	Motif prediction pipeline and various motif-related tools	2023-11-22
gimmemotifs-minimal	Motif prediction pipeline and various motif-related tools	2023-11-22
runjob	Manage jobs or pipeline of bioinfomation.	2023-11-21
gapmm2	gapmm2: gapped alignment using minimap2	2023-11-17
deeparg	A deep learning based approach to predict Antibiotic Resistance Genes (ARGs) from metagenomes	2023-11-15
goalign	goalign is a set of command line tools to manipulate multiple alignments	2023-11-14
deepbgc	DeepBGC - Biosynthetic Gene Cluster detection and classification	2023-11-12
dgenies	Dotplot large Genomes in an Interactive Efficient and Simple way	2023-11-07
phylogenize	Phylogenize is a tool that allows users to link microbial genes to environments accounting for phylogeny.	2023-10-29
args_oap	ARGs-OAP: Online Analysis Pipeline for Antibiotic Resistance Genes Detection from Metagenomic Data Using an Integrated Structured ARG Database	2023-10-28
pygenomeviz	A genome visualization python package for comparative genomics	2023-10-28
auriclass	AuriClass is a tool for quickly predicting the clade of a Candida auris genome.	2023-10-27
uropa	UROPA (Universal RObust Peak Annotator) is a command line based tool intended for genomic region annotation from e.g. peak calling.	
It detects the most appropriate annotation by taking parameters such as feature type, anchor, direction and strand into account.		
Furthermore, it allows filtering for GTF attribute values, e.g. protein_coding.	2023-10-22	
rapgreen	Manipulate and annotate phylogenetic trees	2023-10-19
metapi	A general metagenomics data mining system focus on robust microbiome research	2023-10-18
hamronization	Tool to convert and summarize AMR gene detection outputs using the hAMRonization specification	2023-10-18
fcsparser	A python package for reading raw fcs files	2023-10-17
fiji-morpholibj	MorphoLibJ is a collection of mathematical morphology methods and plugins for ImageJ created at INRA-IJPB Modeling and Digital Imaging lab.	2023-10-16
corgi	Classifier for ORganelle Genomes Inter alia	2023-10-14
neoloop	Predict neo-loops induced by structural variations	2023-10-12
seqstr	Lightweight tool to compile simple string input into long genomic sequences	2023-10-11
phytest	Quality control for phylogenetic pipelines using pytest	2023-10-10
asciigenome	Command-line genome browser running from terminal window and solely based on ASCII characters	2023-10-08
noise2read	Turn noise to read	2023-10-07
biocantor	Coordinate Maniuplation and Genome Annotation Data Model	2023-10-07
kgwasflow	kGWASflow is a Snakemake workflow for performing k-mers-based GWAS.	2023-10-07
hafez	A tool for identifying active prophage elements through read mapping	2023-10-04
svjedi-graph	SVJedi-graph is a structural variation (SV) genotyper for long read data using a variation graph to represent SVs.	2023-10-04
demultiplexer	python tool to demultiplex illumina reads tagged with the leeselab tagging scheme	2023-10-03
lrtk	This is a unified and versatile ToolKit for analyzing Linked-Read sequencing data.	2023-10-02
perl-fastx-reader	FASTX::Reader Perl module to parse FASTA and FASTQ files	2023-09-26
metaprokka	A fork of Prokka using Prodigal-GV for phage annotation and metagenome/metavirome tweaks	2023-09-26
go-figure	GO-Figure! offers a simple solution for command-line plotting of informative summary visualisations of lists of GO terms designed to support exploratory data analyses and multiple dataset comparisons.	2023-09-23
aquamis	AQUAMIS is a snakemake pipeline for routine assembly and quality assessment of microbial isolate sequencing experiments.	2023-09-20
kmcp	accurate metagenomic profiling of both prokaryotic and viral populations by pseudo-mapping	2023-09-20
r-mixkernel	Kernel-based methods are powerful methods for integrating  heterogeneous types of data. mixKernel aims at providing methods to combine kernel for unsupervised exploratory analysis. Different solutions are  provided to compute a meta-kernel in a consensus way or in a way that  best preserves the original topology of the data. mixKernel also integrates kernel PCA to visualize similarities between samples in a non linear space and from the multiple source point of view. Functions to assess and display important variables are also provided in the package. Jerome Mariette and  Nathalie Villa-Vialaneix (2017) <doi:10.1093/bioinformatics/btx682>.	2023-09-18
marker-magu	Marker-MAGu: Trans-Kingdom Marker Gene Pipeline for Taxonomic Profiling of Human Metagenomes	2023-09-17
pbiotools	Miscellaneous bioinformatics and other supporting utilities for Python 3	2023-09-12
aligncov	Obtain tidy alignment coverage info from sorted BAM files	2023-09-11
mgcod	Recognition of genetic codes (incl. multiple genetic codes in phage genomes) and genetic-code-informed annotation of coding regions in prokaryotic sequences	2023-09-11
r-mytai	Investigate the evolution of biological processes by capturing evolutionary signatures in transcriptomes (Drost et al. (2017) <doi:10.1093/bioinformatics/btx835>). The aim of this tool is to provide a transcriptome analysis environment to quantify the average evolutionary age of genes contributing to a transcriptome of interest (Drost et al. (2016) <doi:10.1101/051565>).	2023-09-10
microbecensus	A command-line tool for estimating average genome size from shotgun sequence data	2023-09-10
trinotate	Trinotate is a comprehensive annotation suite designed for automatic functional annotation of transcriptomes particularly de novo assembled transcriptomes from model or non-model organisms	2023-09-09
emblmygff3	An efficient way to convert gff3 annotation files into EMBL format ready to submit.	2023-09-08
finestructure	fineSTRUCTURE is a fast and powerful algorithm for identifying population structure using dense sequencing data.	2023-09-08
sam-algorithm	The Self-Assembling-Manifold algorithm	2023-09-07
rich-msa	A Rich renderable for viewing Multiple Sequence Alignments in the terminal.	2023-09-06
cytosnake	Orchestrating high-dimensional cell morphology data processing pipelines	2023-09-06
python-nextflow	Python module to run Nextflow pipelines	2023-09-06
scorpio	Serious constellations of reoccurring phylogenetically-independent origin	2023-09-05
